Unnamed: 0,heading,latitude,longitude,traceid,sampledate,speed
20,0.0,53.551969598047435,10.045739701017736,L1XUxaqHTMyyznfDmoixkA,2024-07-12 03:37:19,5.0
30,73.0,53.55202885810286,10.045751687139273,L1XUxaqHTMyyznfDmoixkA,2024-07-12 03:37:34,1.0
40,73.0,53.551997216418386,10.045775324106216,L1XUxaqHTMyyznfDmoixkA,2024-07-12 03:37:45,2.0
50,85.0,53.55197563301772,10.045854533091187,L1XUxaqHTMyyznfDmoixkA,2024-07-12 03:37:55,2.0
60,352.0,53.5519895888865,10.045828968286514,L1XUxaqHTMyyznfDmoixkA,2024-07-12 03:38:05,3.0
70,229.0,53.55201850645244,10.045775324106216,L1XUxaqHTMyyznfDmoixkA,2024-07-12 03:38:26,1.0
80,172.0,53.55197194498032,10.045819915831087,L1XUxaqHTMyyznfDmoixkA,2024-07-12 03:38:59,1.0
90,279.0,53.551981123164296,10.04580583423376,L1XUxaqHTMyyznfDmoixkA,2024-07-12 03:39:22,3.0
100,181.0,53.551967879757285,10.045810276642442,L1XUxaqHTMyyznfDmoixkA,2024-07-12 03:39:36,1.0
110,170.0,53.55198074597865,10.04588009789586,L1XUxaqHTMyyznfDmoixkA,2024-07-12 03:41:08,1.0
120,8.0,53.55200224556029,10.04576325416565,L1XUxaqHTMyyznfDmoixkA,2024-07-12 03:41:18,1.0
130,217.0,53.551974962465465,10.045786304399371,L1XUxaqHTMyyznfDmoixkA,2024-07-12 03:41:36,0.0
140,92.0,53.55198573321104,10.045843552798033,L1XUxaqHTMyyznfDmoixkA,2024-07-12 03:41:56,1.0
150,12.0,53.55201766826213,10.045810863375664,L1XUxaqHTMyyznfDmoixkA,2024-07-12 03:43:04,1.0
160,247.0,53.55200710706413,10.045805163681509,L1XUxaqHTMyyznfDmoixkA,2024-07-12 03:43:14,1.0
170,77.0,53.55197349563241,10.0458072591573,L1XUxaqHTMyyznfDmoixkA,2024-07-12 03:43:33,1.0
180,78.0,53.55199981480837,10.04585763439536,L1XUxaqHTMyyznfDmoixkA,2024-07-12 03:43:46,0.0
194,48.0,53.557813,10.045721,Zu3f7z5iSFCOZpyEt0rsA,2024-07-12 05:38:48,22.0
204,189.0,53.55848,10.045544,Zu3f7z5iSFCOZpyEt0rsA,2024-07-12 05:39:56,4.0
219,170.0,53.56194570353812,10.047714480714728,Uk2b5dreSjObQE4ZoJsB9A,2024-07-12 05:42:38,35.0
229,185.0,53.56154478549963,10.047639101836351,Uk2b5dreSjObQE4ZoJsB9A,2024-07-12 05:42:54,13.0
239,185.0,53.56080917507795,10.047513597980853,Uk2b5dreSjObQE4ZoJsB9A,2024-07-12 05:43:04,34.0
249,185.0,53.5600383684679,10.047390738102534,Uk2b5dreSjObQE4ZoJsB9A,2024-07-12 05:43:14,32.0
259,186.0,53.55927595815869,10.047241534808968,Uk2b5dreSjObQE4ZoJsB9A,2024-07-12 05:43:24,28.0
269,184.0,53.55880406885597,10.047157648141708,Uk2b5dreSjObQE4ZoJsB9A,2024-07-12 05:43:46,26.0
279,238.0,53.558401855369056,10.04665501918297,Uk2b5dreSjObQE4ZoJsB9A,2024-07-12 05:43:56,26.0
300,96.0,53.55250934205575,10.044835100922263,Uk2b5dreSjObQE4ZoJsB9A,2024-07-12 05:47:28,1.0
310,95.0,53.552485046335455,10.044806746555158,Uk2b5dreSjObQE4ZoJsB9A,2024-07-12 05:47:50,3.0
320,96.0,53.552487022222785,10.044849073234268,Uk2b5dreSjObQE4ZoJsB9A,2024-07-12 05:49:44,1.0
340,101.0,53.55226996761864,10.047519392421783,Uk2b5dreSjObQE4ZoJsB9A,2024-07-12 05:50:04,37.0
350,101.0,53.55212651732214,10.048966930853766,Uk2b5dreSjObQE4ZoJsB9A,2024-07-12 05:50:14,36.0
424,96.0,53.55490249,10.05701657,8Jn0LRJhRUSpyjYfUOrr9g,2024-07-12 03:59:55,9.0
434,93.0,53.55487034,10.05778736,8Jn0LRJhRUSpyjYfUOrr9g,2024-07-12 04:00:21,38.0
511,273.0,53.55541315,10.05091521,OlsxjswgS1uSi8GzP49txw,2024-07-12 03:35:17,6.0
633,267.0,53.55531666666668,10.050416666666669,8BcyUdlGRkq5gVd9hkow2Q,2024-07-12 03:17:23,39.0
671,11.0,53.5550316,10.0577916,QjT2OyGR4WOjm8t1oWwDg,2024-07-12 04:14:37,8.0
684,300.0,53.5557483,10.05341,QjT2OyGR4WOjm8t1oWwDg,2024-07-12 04:15:43,39.0
696,59.0,53.5605499,10.0551099,QjT2OyGR4WOjm8t1oWwDg,2024-07-12 04:17:00,8.0
707,345.0,53.5614999,10.0476233,QjT2OyGR4WOjm8t1oWwDg,2024-07-12 04:18:09,26.0
755,273.0,53.56099111666668,10.05404305,Vuzl0EG5R2Ku9CboYSO51Q,2024-07-12 02:51:38,32.0
765,274.0,53.561056949999994,10.05264195,Vuzl0EG5R2Ku9CboYSO51Q,2024-07-12 02:51:48,36.0
785,273.0,53.561233333333334,10.049223616666666,Vuzl0EG5R2Ku9CboYSO51Q,2024-07-12 02:52:08,32.0
795,333.0,53.561462702125326,10.048591882397936,Vuzl0EG5R2Ku9CboYSO51Q,2024-07-12 02:52:18,8.0
805,274.0,53.5614277034266,10.04821647248739,Vuzl0EG5R2Ku9CboYSO51Q,2024-07-12 02:55:15,9.0
815,262.0,53.56155038533944,10.047709706867709,Vuzl0EG5R2Ku9CboYSO51Q,2024-07-12 02:55:25,15.0
825,327.0,53.56131333333333,10.047687216666668,Vuzl0EG5R2Ku9CboYSO51Q,2024-07-12 02:55:53,1.0
835,266.0,53.56126528333333,10.046939166666666,Vuzl0EG5R2Ku9CboYSO51Q,2024-07-12 02:56:03,35.0
941,278.0,53.552010166458786,10.049976166337729,PKQ0jjTwRXSHCEimlJQEVA,2024-07-12 03:49:20,19.0
951,277.0,53.552052872255445,10.049622114747764,PKQ0jjTwRXSHCEimlJQEVA,2024-07-12 03:49:37,11.0
